1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
340922.56310679606,280604.54125412536,280614.02694300516,359434.6506024097,405245.10490856593,416111.5910780669,504682.16788321175,646774.7112676057,710430.5325443787,607293.8516129032,657855.8224942618,804056.8399412628,718536.7184604418,798237.3702422145,810703.34682861,849220.1942257216,791550.7558954748,952163.3595015577,1174267.3668711656,1730012.5714285714,2058424.0000000002,2040870.4505928855,2316001.6186770424,2286835.965217391,2112131.6040232927,2344025.5483870967,2414925.0555555555,2329699.033285094,2352000.8583372035,2379352.827972028,2512070.3383768913,2368522.56469542,2408279.0
334772.9611650485,278179.7227722772,277820.7585492228,353286.62650602416,403629.72858517803,411299.80669144983,497955.4744525548,616560.8873239437,612401.2307692308,594254.7935483871,654342.4330527927,713117.033773862,711164.3164647183,710547.6484429066,735635.6113360325,835739.4803149606,789327.9235181643,918972.2118380063,1122031.25398773,1729717.6470588236,1846010.666666667,1975225.0750988144,2207247.2840466923,2279778.260869565,2099797.137109582,2272545.0609318996,2249226.972222222,2321293.657501206,2310003.147236414,2350124.5874125874,2500042.919761577,2363241.458425967,2351857.0
333293.3786407767,275848.3608360836,270563.97098445595,345573.3574297189,401269.6438883542,407286.0743494424,473610.75182481756,601038.633802817,565254.6272189349,591995.8258064516,616938.8890589136,712488.2466960353,708606.4775481111,671736.5093425605,734687.4655870446,806582.9921259842,786249.0299553855,916965.1788161994,1114672.7852760735,1616146.9579831932,1825184.0000000002,1956500.5533596838,2097778.241245136,2276551.3826086954,2070514.3250397034,2270930.924731183,2145352.333333333,2302920.1196333813,2288994.6939154663,2345015.586013986,2315961.830353049,2342768.36638506,2349951.0
329311.60194174753,274795.08030803077,267920.5968911917,337638.7871485944,391776.2694898941,398274.91449814127,473476.6788321168,578397.971830986,558962.4615384615,570256.0387096774,616568.2264728387,711537.4801762115,682303.121881682,662317.3480968858,710869.1767881243,795392.2519685038,786149.5219885276,907246.1607476636,1102226.4932515337,1529076.7394957982,1760370.666666667,1948408.1581027668,2082917.4163424124,2271661.152173913,2060604.696664902,2231338.1505376343,2063451.4166666665,2260488.9763627592,2233366.0157919177,2328055.157109557,2282291.3745988077,2332820.7345486884,2255695.0
317934.69902912615,267121.54015401535,251793.87357512952,337311.44578313257,381493.9903753609,396934.8698884758,472131.75912408764,576241.4295774648,544827.4082840236,567619.3419354839,612485.6679418517,698486.355359765,646994.1439771916,653692.6505190311,685682.8933873145,791881.9632545931,774780.7367750158,903024.6679127726,1094735.617177914,1497190.4537815126,1684780.0000000002,1933782.9881422925,2072774.941634241,2223482.5869565215,2000969.469560614,2220251.9856630825,2031715.1388888888,2199699.801254221,2228663.1082210867,2313703.283916084,2250656.8950022925,2219627.628279235,2225007.0
310832.1456310679,266502.70627062704,246530.918134715,336513.83935742977,381222.18286814244,388130.6914498141,465227.00000000006,552315.3309859155,544666.3195266272,566569.4774193548,611905.9586840093,696173.4977973568,641014.3977191731,651698.5467128027,667793.6140350878,778990.3149606298,765361.1370299553,849281.1015576324,1075856.299386503,1454594.5546218487,1683380.0000000002,1911520.4743083005,2003134.2879377431,2170405.056521739,1989553.8888300688,2148545.777777778,2025624.361111111,2190818.1688374337,2201741.361820715,2298308.844755245,2189320.744612563,2128247.0324588707,2172883.0
309895.91262135917,266212.2332233223,238208.21554404142,333346.46586345386,370913.38594802696,384795.5167286245,457272.70072992705,546405.5563380282,540157.775147929,564286.4387096774,606519.9326702373,675204.375917768,634067.4839629364,641516.7003460207,665754.790823212,710926.871391076,740709.5015933715,828263.7607476636,1064803.1018404907,1327263.025210084,1609472.0000000002,1868763.7944664033,1871303.8132295718,2082986.104347826,1935427.116993118,2139109.017921147,2022828.3888888888,2134407.2320308727,2175289.9061774267,2281590.3254079255,2128421.4763869783,2076666.1520675856,2144780.0
305975.4368932038,254724.65566556653,236918.6487046632,332348.3052208836,368696.9393647738,365465.1598513011,454341.94890510954,494478.7676056338,533339.6449704142,562277.4387096774,593476.4743687835,668731.0719530103,617625.6364932287,622301.8020761246,654051.6977058031,698830.6876640419,712983.3626513702,778807.4915887851,1044530.6895705521,1326666.2857142857,1523718.6666666667,1799724.3320158103,1869948.420233463,2025392.6913043477,1903924.8787718369,2121041.9784946237,1984072.0,2127899.1297636274,2132167.1230840683,2239391.022843823,2069479.2297111414,2017611.2761227211,2029943.0
304983.4757281553,245823.55115511548,234801.09430051813,320713.8554216868,362949.2050048123,365407.5464684015,450694.7445255475,476644.34507042257,530265.3727810651,556215.2580645161,587623.1675592961,668537.2099853157,617340.8866714183,600892.5951557093,645854.5748987854,680940.2677165354,696072.8616953474,773949.4130841121,1028510.8073619631,1326299.6974789917,1518332.0000000002,1709699.3517786562,1866808.8093385212,2011887.4695652172,1888608.8935944943,2111944.9749103943,1979161.111111111,2103900.2257597684,2110613.7296795165,2110987.356643357,2036465.6762952772,2016351.4877723432,2015252.0
302612.2427184466,241261.8613861386,231296.42279792746,318968.80321285146,347957.80558229063,362475.6654275093,446643.22627737233,475031.485915493,522936.80473372777,553484.1290322581,586697.3894414691,667311.6651982379,600326.2665716321,581164.4733564013,605702.4615384616,661276.6246719159,695465.5704270236,770038.3451713396,1011313.344785276,1315765.1092436975,1461508.0000000002,1702290.1818181819,1852786.4902723734,2008685.5478260869,1884123.8538909475,2075421.7634408602,1969502.1944444443,2101680.648335745,2100804.8081746395,2082249.3575757577,2005197.5460797797,1998861.4602045354,1972166.0
